timestamp,open,high,low,close,gain,loss,avg gain,avg loss,RS,RSI
19-03-2021,130.02,130.44,128.53,128.9,,,,,,
18-03-2021,128.94,130.995,127.79,130.06,1.16,0,,,,
17-03-2021,128.46,129.49,127.49,129.03,0,1.03,,,,
16-03-2021,128.28,128.52,127.34,128.24,0,0.79,,,,
15-03-2021,127.77,128.75,127.5401,128.58,0.34,0,,,,
12-03-2021,127.19,127.68,126.61,127.61,0,0.97,,,,
11-03-2021,128.09,128.64,126.78,127.14,0,0.47,,,,
10-03-2021,125.05,128.24,124.61,127.87,0.73,0,,,,
09-03-2021,125.4,126.43,124.16,124.18,0,3.69,,,,
08-03-2021,122.99,126.85,122.88,124.81,0.63,0,,,,
05-03-2021,120.64,123.75,120.25,122.83,0,1.98,,,,
04-03-2021,122,123.22,118.755,120.11,0,2.72,,,,
03-03-2021,120.5,122.634,119.98,122.36,2.25,0,,,,
02-03-2021,120.74,121.9,120.26,120.33,0,2.03,,,,
01-03-2021,120.35,122.32,119.8649,120.74,0.41,0,0.394285714,0.977142857,0.403508772,28.75
26-02-2021,122.25,122.25,118.88,118.93,0,1.81,0.366122449,1.036632653,0.353184369,26.10024005
25-02-2021,123.37,124.35,122.335,122.47,3.54,0,0.592827988,0.962587464,0.615869218,38.11380346
24-02-2021,120.8,123.49,120.52,123.21,0.74,0,0.603340275,0.893831216,0.675004703,40.2986751
23-02-2021,120.92,121.35,119.8,120.71,0,2.5,0.560244541,1.008557558,0.555490895,35.71161343
22-02-2021,118.5,121.125,118.44,120.86,0.15,0,0.530941359,0.936517732,0.566931454,36.18099901
19-02-2021,120.75,120.76,118.38,118.99,0,1.87,0.493016977,1.003195037,0.491446786,32.95101043
18-02-2021,120.5,120.94,119.7,120.73,1.74,0,0.582087193,0.931538249,0.624866658,38.45648842
17-02-2021,119.27,120.56,119.02,119.97,0,0.76,0.540509536,0.919285517,0.587966988,37.02639867
16-02-2021,120.15,120.6,119.36,120.07,0.1,0,0.509044569,0.853622266,0.59633469,37.35649509
12-02-2021,121,121.36,120.09,120.8,0.73,0,0.5248271,0.792649247,0.662117705,39.83578918
11-02-2021,122,122.205,120.63,120.91,0.11,0,0.495196593,0.736031443,0.672792715,40.21973008
10-02-2021,123.03,123.41,121.2138,122.24,1.33,0,0.554825408,0.683457769,0.811791793,44.80602
09-02-2021,121.9,122.5953,121.05,122.1,0,0.14,0.515195021,0.644639357,0.799198833,44.41970605
08-02-2021,122.62,123.9767,122.4,123.61,1.51,0,0.58625252,0.598593688,0.979383063,49.479208
05-02-2021,121,121.81,120.52,121.79,0,1.82,0.54437734,0.685836996,0.793741578,44.25060933
04-02-2021,119.91,121.1,118.87,121.02,0,0.77,0.505493244,0.691848639,0.730641379,42.21795387
03-02-2021,119.04,119.8,118.12,119.12,0,1.9,0.469386584,0.778145165,0.603212106,37.6252215
02-02-2021,119.36,121,119.28,119.44,0.32,0,0.458716114,0.722563368,0.634845515,38.83214098
01-02-2021,119.9,120.95,118.73,120.54,1.1,0,0.504522105,0.670951699,0.751949964,42.92074428
29-01-2021,120.22,121.3,118.9,119.11,0,1.43,0.468484812,0.725169434,0.646034968,39.24794919
28-01-2021,122.8,123.2,120.07,120.08,0.97,0,0.504307326,0.673371618,0.748928693,42.82213998
27-01-2021,122.08,124.79,121.6214,122.47,2.39,0,0.638999659,0.625273645,1.021952012,50.54284206
26-01-2021,119.18,122.59,118.42,122.49,0.02,0,0.594785398,0.580611242,1.024412473,50.60295205
25-01-2021,118.7624,119.538,117.45,118.58,0,3.91,0.552300727,0.818424724,0.674833873,40.29258567
22-01-2021,120.7,120.7,117.36,118.61,0.03,0,0.514993532,0.759965816,0.677653549,40.39293747
21-01-2021,130.12,132.24,130.05,131.65,13.04,0,1.409636851,0.705682543,1.997550974,66.63943303
