timestamp,open,high,low,close,volume
26-03-2021,641.87,643.82,599.89,618.71,33852827
25-03-2021,613,645.5,609.5,640.39,39224850
24-03-2021,667.91,668.02,630.11,630.27,33795174
23-03-2021,675.77,677.8,657.51,662.16,30491870
22-03-2021,684.59,699.62,668.75,670,39512221
19-03-2021,646.6,657.23,624.6201,654.87,42893978
18-03-2021,684.29,689.23,652,653.16,33369022
17-03-2021,656.87,703.73,651.01,701.81,40372453
16-03-2021,703.35,707.92,671,676.88,32195672
15-03-2021,694.09,713.18,684.04,707.94,29423479
12-03-2021,670,694.88,666.1394,693.73,33583840
11-03-2021,699.4,702.5,677.18,699.6,36253892
10-03-2021,700.3,717.85,655.06,668.06,60605672
09-03-2021,608.18,678.09,595.21,673.58,67523328
08-03-2021,600.55,620.125,558.79,563,51786958
05-03-2021,626.06,627.8419,539.49,597.95,89396459
04-03-2021,655.8,668.45,600,621.44,64799898
03-03-2021,687.99,700.7,651.705,653.2,30207960
02-03-2021,718.28,721.11,685,686.44,23732158
01-03-2021,690.11,719,685.05,718.43,27136239
26-02-2021,700,706.7,659.51,675.5,39767316
25-02-2021,726.15,737.2066,670.58,682.22,38126722
24-02-2021,711.85,745,694.17,742.02,36766950
23-02-2021,662.13,713.6099,619,698.84,66606882
22-02-2021,762.64,768.5,710.2,714.5,36594555
19-02-2021,795,796.7899,777.37,781.3,18958255
18-02-2021,780.9,794.69,776.27,787.38,17957058
17-02-2021,779.09,799.84,762.01,798.15,25878526
16-02-2021,818,821,792.44,796.22,19802324
12-02-2021,801.26,817.33,785.3306,816.12,23768313
11-02-2021,812.44,829.8799,801.725,811.66,21622753
10-02-2021,843.635,844.82,800.02,804.82,35723444
09-02-2021,855.12,859.8,841.75,849.46,15027305
08-02-2021,869.67,877.77,854.75,863.42,20161719
05-02-2021,845,864.77,838.97,852.23,18566637
04-02-2021,855,856.5,833.42,849.99,15812661
03-02-2021,877.02,878.08,853.0646,854.69,18343510
02-02-2021,844.68,880.5,842.2006,872.79,23998098
01-02-2021,814.29,842,795.5601,839.81,25391385
29-01-2021,830.0003,842.41,780.1,793.53,34990754
28-01-2021,820,848,801,835.43,26378048
27-01-2021,870.35,891.5,858.66,864.16,27333955
26-01-2021,891.38,895.9,871.6,883.09,23131603
25-01-2021,855,900.4,838.8201,880.8,41173397
22-01-2021,834.31,848,828.62,846.64,20066497
21-01-2021,855,855.7199,841.4201,844.99,20598133
20-01-2021,858.74,859.5,837.28,850.45,25665883
19-01-2021,837.8,850,833,844.55,25366980
15-01-2021,852,859.9,819.1,826.16,38777596
14-01-2021,843.39,863,838.75,845,31266327
13-01-2021,852.76,860.47,832,854.41,33312496
12-01-2021,831,868,827.34,849.44,45985569
11-01-2021,849.4,854.43,803.6222,811.19,59554146
08-01-2021,856,884.49,838.39,880.02,75055528
07-01-2021,777.63,816.99,775.2,816.04,51498948
06-01-2021,758.49,774,749.1,755.98,44699965
05-01-2021,723.66,740.84,719.2,735.11,32245165
04-01-2021,719.46,744.4899,717.1895,729.77,48638189
31-12-2020,699.99,718.72,691.12,705.67,49649928
30-12-2020,672,696.6,668.3603,694.78,42846021
29-12-2020,661,669.9,655,665.99,22910811
28-12-2020,674.51,681.4,660.8,663.69,31553561
24-12-2020,642.99,666.09,641,661.77,22865568
23-12-2020,632.2,651.4999,622.5701,645.98,33172972
22-12-2020,648,649.88,614.23,640.34,51861644
21-12-2020,666.24,668.5,646.07,649.86,58045264
18-12-2020,668.9,695,628.54,695,222126194
17-12-2020,628.19,658.82,619.5,655.9,56270144
16-12-2020,628.23,632.5,605,622.77,42095813
15-12-2020,643.28,646.9,623.8,633.25,45223559
14-12-2020,619,642.7499,610.2001,639.83,52040649
11-12-2020,615.01,624,596.8,609.99,46474974
10-12-2020,574.37,627.75,566.34,627.07,67083153
09-12-2020,653.69,654.32,588,604.48,71291190
08-12-2020,625.505,651.28,618.5,649.88,64265029
07-12-2020,604.9197,648.7856,603.05,641.76,56309709
04-12-2020,591.01,599.04,585.5,599.04,29401314
03-12-2020,590.02,598.97,582.43,593.38,42552003
02-12-2020,556.44,571.54,541.21,568.82,47775653
01-12-2020,597.59,597.85,572.05,584.76,39133346
30-11-2020,602.21,607.8,554.51,567.6,63003052
27-11-2020,581.16,598.78,578.45,585.76,37561078
25-11-2020,550.06,574,545.37,574,48930162
24-11-2020,540.4,559.99,526.2,555.38,52058771
23-11-2020,503.5,526,501.79,521.85,50260304
20-11-2020,497.99,502.5,489.06,489.61,32911922
19-11-2020,492,508.6112,487.57,499.27,62475346
18-11-2020,448.35,496,443.5001,486.64,78044024
17-11-2020,460.17,462,433.01,441.61,61188281
16-11-2020,408.93,412.45,404.0868,408.09,26838635
13-11-2020,410.85,412.5319,401.66,408.5,19830351
12-11-2020,415.05,423,409.52,411.76,19940500
11-11-2020,416.45,418.695,410.58,417.13,17357722
10-11-2020,420.09,420.09,396.0301,410.36,30284224
09-11-2020,439.5,452.5,421,421.26,34833025
06-11-2020,436.1,436.57,424.28,429.95,21706014
05-11-2020,428.3,440,424.0001,438.09,28414523
04-11-2020,430.62,435.4,417.1,420.98,32143057
03-11-2020,409.73,427.77,406.69,423.9,34351715
02-11-2020,394,406.9799,392.3,400.51,29021118
30-10-2020,406.8954,407.5915,379.11,388.04,42587639
